,row,forest prediction to refactorating,base value,methodAnonymousClassesQty,methodAssignmentsQty,methodCbo,methodComparisonsQty,methodLambdasQty,methodLoc,methodLoopQty,methodMathOperationsQty,methodMaxNestedBlocks,methodNumbersQty,methodParametersQty,methodParenthesizedExpsQty,methodReturnQty,methodRfc,methodStringLiteralsQty,methodSubClassesQty,methodTryCatchQty,methodUniqueWordsQty,methodVariablesQty,methodWmc,bugFixCount,refactoringsInvolved
0,0.0,0.72,0.49981417910447773,0.0003608535201939072,0.026450348447629835,-0.014071973055749535,-0.0015157261237991099,9.084629673378033e-05,0.058553218067354224,-0.0020882532157582056,-0.038113193084016124,0.010156880433909029,-0.04591613496242705,0.012766059664577023,-0.021259800281715962,-0.0011985909653885974,0.05268806497404086,-0.0028220200985546447,4.4078172909521527e-05,0.001827909114364533,0.028932669857590992,0.04076783238029673,0.011116257148607969,0.08669926474690005,0.01671722985781716
1,1.0,0.81,0.49981417910447773,-0.009380044056461607,0.014113813400851773,-0.0046672888414436954,0.003006743404812675,0.00047334695391865574,0.07097727154387841,-0.02129757719695137,0.0009781818281547202,-0.0031240007060427005,0.0024517770819787498,0.011545676016778798,0.001320897685854606,-0.0025550654956946503,0.04771967236981946,-0.014266116642276049,7.491428865380632e-05,0.0018663813346113942,0.0627996083899755,0.015180589342788542,0.011428481808361405,0.13021479262833538,-0.008676234244385416
2,2.0,0.97,0.49981417910447773,0.0008450124229482799,0.052016565430834535,0.01323758524458843,0.010818958052815056,0.0002970828696750368,0.08169952207141529,0.005691258159848672,0.0036308162217063016,0.008729147639901638,0.010113086954582563,0.0037197854784388547,0.0017564105935530478,-0.0013064553307055114,0.09323812651754765,0.004112374348361524,3.0586680700167566e-05,0.0034852486341215437,0.06467839113109065,0.05148640570651179,0.02571147744757186,0.01270010429436888,0.023494330325642125
3,3.0,0.51,0.49981417910447773,-0.0018900394469392931,0.03081937901053193,0.004571488265823622,-0.005417427931577653,-0.0009377760320987141,0.05632241360312517,0.0012453822970158739,0.003843254451027073,0.003409350810319622,0.0033611188150419833,0.0023739205365156464,-0.005961422673811272,-0.0006411808091354163,0.05147922708284845,0.014684854764444527,3.796730653958034e-05,-0.005854926765492376,0.07082448762246794,0.023806360696720406,0.005221040363847994,-0.2632474139284218,0.022135762856746746
4,4.0,0.9,0.49981417910447773,-0.00031006096898034266,-0.03014185995140853,0.006618172243035008,0.002516242300954705,0.00016728699148169378,0.09943747537281462,0.004174637288898191,0.0002566526803513638,0.009847588831970124,0.0063962228434345314,0.012627762278196857,0.0021351196095788848,-0.00912699655705986,0.09286582525476964,0.0063908325198334896,5.2923896729520325e-05,0.001583891659593615,0.07632619693015875,-0.02369126479347518,0.03626241164610176,0.08418179569401699,0.02161496512452916
5,5.0,0.49,0.49981417910447773,0.0026164686228513467,0.03493254310843103,0.007677328858526726,0.00526291791656694,-0.00041573326313601563,0.05196349764413738,0.00314811430854426,0.00237935679397022,0.004284857368149526,0.0015016715745150091,0.008345431115244654,0.018377924610596556,-0.004175868490878303,0.06741885767215788,0.009010479897717283,3.261298519600668e-05,0.0015955898233920268,0.045098165489465596,0.013394203873891907,-0.0010102335550829199,-0.28849902211051665,0.007246656651782406
6,6.0,0.8,0.49981417910447773,-0.0006924328835148324,0.026642940955974984,-0.02715651932617241,0.012211409116779528,0.0008842582097205729,0.04143820873113514,0.00348371874348488,0.0005561720569322364,0.010277156718715432,0.0058037258019801715,0.0018955708292567885,0.00341093664943417,-0.0009863560095447485,-0.00029770608594788516,-0.004866191818774418,0.00026919733112786107,0.0015288604318615803,0.0640324772455129,0.0433356934729825,-0.017339427604906935,0.09076048086079677,0.04499364746868278
7,7.0,0.84,0.49981417910447773,-0.004555715258108972,0.05995468528973779,-0.005647971760095598,0.009028752094144294,0.000178440610181883,0.0733552908106066,0.0027856695354735728,0.009959055595806255,-0.0019675833207186146,-0.0014965317565581325,0.0019833881648021754,-0.01256088853995841,-0.0030684262215302403,0.08153975998544344,0.009122471951467112,2.518288087975457e-05,0.00030466760736238467,0.05832442885208702,0.04170893746969377,-0.0012860396458399244,0.007199724792369284,0.015298521758291932
8,8.0,0.98,0.49981417910447773,0.00012968764880903774,0.04274711647169553,0.001797785242339524,-0.00012237976617916028,0.004055542389255195,0.07572264281278833,0.002737573170635661,0.0015203065216339835,0.006016563459752752,0.004352155179954369,0.01143208435388627,0.0019929277746495314,0.0016627253960580057,0.07390051978880398,0.0017242576070072863,6.957368098098687e-05,0.0008123089238036233,0.06369349796635064,0.045786104773019316,0.010239989739574386,0.11294127770177226,0.016973560058933967
9,9.0,0.85,0.49981417910447773,0.0008294048742944157,0.04584139612623714,0.02694551940038682,0.00024286798679042497,-0.00020264228134674828,0.06646625363235044,0.0074799922330103606,0.00783002436698856,0.016866295446847875,0.009367451168481396,-0.0009454341703474434,0.0012463355860067966,0.015358447970906441,0.14332161169559038,0.02418472647899579,4.209015663368147e-05,0.0047115777457229354,0.06654824552903807,0.04552689635125442,0.025504558557528836,-0.2041275691362493,0.047147771176400614
